Table_Id,City,Place_Fips,Geo_Id,State,State_Fips,Total_Population
100169,Nome,54920,16000US0254920,AK,2,3773
100170,Nondalton,55030,16000US0255030,AK,2,182
100171,Noorvik,55140,16000US0255140,AK,2,608
100172,North Pole,55910,16000US0255910,AK,2,2265
100173,Northway,56220,16000US0256220,AK,2,131
100174,Northway Junction,56250,16000US0256250,AK,2,64
100175,Northway Village,56260,16000US0256260,AK,2,92
100176,Nuiqsut,56320,16000US0256320,AK,2,345
100177,Nulato,56350,16000US0256350,AK,2,285
100178,Nunam Iqua,56600,16000US0256600,AK,2,129
100179,Nunapitchuk,56680,16000US0256680,AK,2,554
100180,Old Harbor,57340,16000US0257340,AK,2,249
100181,Oscarville,58330,16000US0258330,AK,2,22
100182,Ouzinkie,58550,16000US0258550,AK,2,230
100183,Palmer,58660,16000US0258660,AK,2,6449
100184,Paxson,59320,16000US0259320,AK,2,38
100185,Pedro Bay,59540,16000US0259540,AK,2,12
100186,Pelican,59650,16000US0259650,AK,2,79
100187,Perryville,60200,16000US0260200,AK,2,98
100188,Petersburg,60310,16000US0260310,AK,2,3024
100189,Petersville,60460,16000US0260460,AK,2,0
100190,Pilot Point,60640,16000US0260640,AK,2,53
100191,Pilot Station,60750,16000US0260750,AK,2,582
100192,Pitkas Point,60860,16000US0260860,AK,2,136
100193,Platinum,61080,16000US0261080,AK,2,42
100194,Pleasant Valley,61120,16000US0261120,AK,2,168
100195,Point Baker,61190,16000US0261190,AK,2,41
100196,Point Hope,61630,16000US0261630,AK,2,562
100197,Point Lay,61700,16000US0261700,AK,2,285
100198,Point MacKenzie,61788,16000US0261788,AK,2,466
100199,Point Possession,61825,16000US0261825,AK,2,0
100200,Pope-Vannoy Landing,62125,16000US0262125,AK,2,0
100201,Portage Creek,62285,16000US0262285,AK,2,0
100202,Port Alexander,62510,16000US0262510,AK,2,31
100203,Port Alsworth,62620,16000US0262620,AK,2,147
100204,Port Clarence,63170,16000US0263170,AK,2,40
100205,Port Graham,63280,16000US0263280,AK,2,206
100206,Port Heiden,63390,16000US0263390,AK,2,81
100207,Port Lions,63610,16000US0263610,AK,2,231
100208,Port Protection,63870,16000US0263870,AK,2,82
100209,Primrose,64240,16000US0264240,AK,2,73
100210,Prudhoe Bay,64380,16000US0264380,AK,2,2724
100211,Quinhagak,64600,16000US0264600,AK,2,661
100212,Rampart,64820,16000US0264820,AK,2,7
100213,Red Devil,64930,16000US0264930,AK,2,22
100214,Red Dog Mine,64980,16000US0264980,AK,2,81
100215,Ridgeway,65345,16000US0265345,AK,2,2195
100216,Ruby,65590,16000US0265590,AK,2,202
100217,Russian Mission,65700,16000US0265700,AK,2,410
100218,St. George,65800,16000US0265800,AK,2,53
100219,St. Mary's,66140,16000US0266140,AK,2,583
100220,St. Michael,66360,16000US0266360,AK,2,396
100221,St. Paul,66470,16000US0266470,AK,2,576
100222,Salamatof,66510,16000US0266510,AK,2,1110
100223,Salcha,66550,16000US0266550,AK,2,984
100224,Sand Point,67020,16000US0267020,AK,2,1188
100225,Savoonga,67460,16000US0267460,AK,2,883
100226,Saxman,67570,16000US0267570,AK,2,401
100227,Scammon Bay,67680,16000US0267680,AK,2,488
100228,Selawik,68230,16000US0268230,AK,2,794
100229,Seldovia,68340,16000US0268340,AK,2,243
100230,Seldovia Village,68370,16000US0268370,AK,2,174
100231,Seward,68560,16000US0268560,AK,2,2710
100232,Shageluk,68670,16000US0268670,AK,2,43
100233,Shaktoolik,68890,16000US0268890,AK,2,223
100234,Shishmaref,69770,16000US0269770,AK,2,573
100235,Shungnak,70100,16000US0270100,AK,2,342
100236,Silver Springs,70320,16000US0270320,AK,2,168
100237,Sitka city and borough,70540,16000US0270540,AK,2,8943
100238,Skagway,70760,16000US0270760,AK,2,957
100239,Skwentna,70870,16000US0270870,AK,2,42
100240,Slana,70930,16000US0270930,AK,2,84
100241,Sleetmute,71090,16000US0271090,AK,2,96
100242,Soldotna,71640,16000US0271640,AK,2,4409
100243,South Naknek,72190,16000US0272190,AK,2,63
100244,South Van Horn,72230,16000US0272230,AK,2,581
100245,Stebbins,72960,16000US0272960,AK,2,547
100246,Steele Creek,72985,16000US0272985,AK,2,6272
100247,Sterling,73070,16000US0273070,AK,2,6054
100248,Stevens Village,73290,16000US0273290,AK,2,25
100249,Stony River,73400,16000US0273400,AK,2,40
100250,Sunrise,73950,16000US0273950,AK,2,15
100251,Susitna,74340,16000US0274340,AK,2,0
100252,Susitna North,74350,16000US0274350,AK,2,1404
100253,Sutton-Alpine,74525,16000US0274525,AK,2,1602
100254,Takotna,74610,16000US0274610,AK,2,49
100255,Talkeetna,74830,16000US0274830,AK,2,616
100256,Tanacross,75050,16000US0275050,AK,2,127
100257,Tanaina,75077,16000US0275077,AK,2,9640
100258,Tanana,75160,16000US0275160,AK,2,277
100259,Tatitlek,75380,16000US0275380,AK,2,86
100260,Tazlina,75480,16000US0275480,AK,2,358
100261,Teller,75930,16000US0275930,AK,2,165
100262,Tenakee Springs,76260,16000US0276260,AK,2,150
100263,Tetlin,76590,16000US0276590,AK,2,121
100264,Thorne Bay,77140,16000US0277140,AK,2,566
100265,Togiak,77690,16000US0277690,AK,2,787
100266,Tok,77800,16000US0277800,AK,2,1331
100267,Toksook Bay,78240,16000US0278240,AK,2,549
100268,Tolsona,78297,16000US0278297,AK,2,0
100269,Tonsina,78350,16000US0278350,AK,2,30
100270,Trapper Creek,78680,16000US0278680,AK,2,432
100271,Tuluksak,78790,16000US0278790,AK,2,436
100272,Tuntutuliak,79120,16000US0279120,AK,2,466
100273,Tununak,79230,16000US0279230,AK,2,294
100274,Twin Hills,79780,16000US0279780,AK,2,95
100275,Two Rivers,79830,16000US0279830,AK,2,238
100276,Tyonek,79890,16000US0279890,AK,2,214
100277,Ugashik,80100,16000US0280100,AK,2,19
100278,Unalakleet,80660,16000US0280660,AK,2,710
100279,Unalaska,80770,16000US0280770,AK,2,4619
100280,Upper Kalskag,81320,16000US0281320,AK,2,284
100281,Valdez,82200,16000US0282200,AK,2,3979
100282,Venetie,82420,16000US0282420,AK,2,177
100283,Wainwright,82750,16000US0282750,AK,2,458
100284,Wales,82860,16000US0282860,AK,2,155
100285,Wasilla,83080,16000US0283080,AK,2,8676
100286,Whale Pass,84000,16000US0284000,AK,2,16
100287,White Mountain,84070,16000US0284070,AK,2,179
100288,Whitestone,84120,16000US0284120,AK,2,195
100289,Whitestone Logging Camp,84200,16000US0284200,AK,2,0
100290,Whittier,84510,16000US0284510,AK,2,295
100291,Willow,85280,16000US0285280,AK,2,2085
100292,Willow Creek,85290,16000US0285290,AK,2,8
100293,Wiseman,85610,16000US0285610,AK,2,11
100294,Womens Bay,85680,16000US0285680,AK,2,852
100295,Wrangell city and borough,86380,16000US0286380,AK,2,2387
100296,Yakutat,86490,16000US0286490,AK,2,597
100297,Adak,65,16000US0200065,AK,2,122
100298,Akhiok,650,16000US0200650,AK,2,84
100299,Akiachak,760,16000US0200760,AK,2,562
100300,Akiak,870,16000US0200870,AK,2,399
100301,Akutan,1090,16000US0201090,AK,2,899
100302,Alakanuk,1200,16000US0201200,AK,2,777
100303,Alatna,1305,16000US0201305,AK,2,1
100304,Alcan Border,1390,16000US0201390,AK,2,51
100305,Aleknagik,1420,16000US0201420,AK,2,199
100306,Aleneva,1560,16000US0201560,AK,2,59
100307,Allakaket,1860,16000US0201860,AK,2,77
100308,Ambler,1970,16000US0201970,AK,2,280
100309,Anaktuvuk Pass,2080,16000US0202080,AK,2,247
100310,Anchorage municipality,3000,16000US0203000,AK,2,299107
100311,Anchor Point,3110,16000US0203110,AK,2,1951
100312,Anderson,3220,16000US0203220,AK,2,201
100313,Angoon,3440,16000US0203440,AK,2,382
100314,Aniak,3550,16000US0203550,AK,2,525
100315,Anvik,3880,16000US0203880,AK,2,87
100316,Arctic Village,3990,16000US0203990,AK,2,138
100317,Atka,4210,16000US0204210,AK,2,66
100318,Atmautluak,4430,16000US0204430,AK,2,258
100319,Atqasuk,4500,16000US0204500,AK,2,159
100320,Attu Station,4670,16000US0204670,AK,2,16
100321,Badger,5000,16000US0205000,AK,2,21197
100322,Barrow,5200,16000US0205200,AK,2,4293
100323,Bear Creek,5585,16000US0205585,AK,2,1824
100324,Beaver,5750,16000US0205750,AK,2,60
100325,Beluga,6245,16000US0206245,AK,2,6
100326,Bethel,6520,16000US0206520,AK,2,6370
100327,Bettles,6630,16000US0206630,AK,2,22
100328,Big Delta,6850,16000US0206850,AK,2,539
100329,Big Lake,7070,16000US0207070,AK,2,3815
100330,Birch Creek,7620,16000US0207620,AK,2,1
100331,Brevig Mission,8740,16000US0208740,AK,2,442
100332,Buckland,9600,16000US0209600,AK,2,596
100333,Buffalo Soapstone,9657,16000US0209657,AK,2,827
100334,Butte,9710,16000US0209710,AK,2,3854
100335,Cantwell,10150,16000US0210150,AK,2,209
100336,Central,11690,16000US0211690,AK,2,58
100337,Chalkyitsik,11800,16000US0211800,AK,2,101
100338,Chase,12350,16000US0212350,AK,2,23
100339,Chefornak,12680,16000US0212680,AK,2,516
100340,Chena Ridge,12920,16000US0212920,AK,2,5473
100341,Chenega,12970,16000US0212970,AK,2,66
100342,Chevak,13230,16000US0213230,AK,2,1082
100343,Chickaloon,13340,16000US0213340,AK,2,284
100344,Chicken,13450,16000US0213450,AK,2,0
100345,Chignik,13550,16000US0213550,AK,2,70
100346,Chignik Lagoon,13670,16000US0213670,AK,2,73
100347,Chignik Lake,13780,16000US0213780,AK,2,70
100348,Chiniak,13860,16000US0213860,AK,2,23
100349,Chisana,13890,16000US0213890,AK,2,0
100350,Chistochina,14000,16000US0214000,AK,2,59
100351,Chitina,14110,16000US0214110,AK,2,80
100352,Chuathbaluk,14330,16000US0214330,AK,2,116
100353,Circle,14880,16000US0214880,AK,2,118
100354,Clam Gulch,15320,16000US0215320,AK,2,182
100355,Clark's Point,15430,16000US0215430,AK,2,56
100356,Ashland,2860,16000US0102860,AL,1,2667
100357,Ashville,2908,16000US0102908,AL,1,2342
100358,Athens,2956,16000US0102956,AL,1,23938
100359,Atmore,3004,16000US0103004,AL,1,10072
100360,Attalla,3028,16000US0103028,AL,1,5965
100361,Auburn,3076,16000US0103076,AL,1,58693
100362,Autaugaville,3220,16000US0103220,AL,1,1119
100363,Avon,3364,16000US0103364,AL,1,594
100364,Axis,3508,16000US0103508,AL,1,911
100365,Babbie,3556,16000US0103556,AL,1,687
100366,Baileyton,3676,16000US0103676,AL,1,909
100367,Bakerhill,3724,16000US0103724,AL,1,209
100368,Ballplay,3820,16000US0103820,AL,1,1535
100369,Banks,3940,16000US0103940,AL,1,136
100370,Bay Minette,4660,16000US0104660,AL,1,8843
100371,Bayou La Batre,4684,16000US0104684,AL,1,2634
100372,Bear Creek,4852,16000US0104852,AL,1,1296
100373,Beatrice,4900,16000US0104900,AL,1,294
100374,Beaverton,4948,16000US0104948,AL,1,273
100375,Belgreen,5140,16000US0105140,AL,1,66
100376,Belk,5164,16000US0105164,AL,1,289
100377,Bellamy,5188,16000US0105188,AL,1,816
100378,Belle Fontaine,5212,16000US0105212,AL,1,539
100379,Benton,5692,16000US0105692,AL,1,49
100380,Berry,5932,16000US0105932,AL,1,1392
100381,Bessemer,5980,16000US0105980,AL,1,27043
100382,Billingsley,6460,16000US0106460,AL,1,176
100383,Birmingham,7000,16000US0107000,AL,1,212211
100384,Black,7120,16000US0107120,AL,1,157
100385,Blountsville,7456,16000US0107456,AL,1,1967
100386,Blue Ridge,7588,16000US0107588,AL,1,1461
100387,Blue Springs,7672,16000US0107672,AL,1,99
100388,Boaz,7912,16000US0107912,AL,1,9673
100389,Boligee,8104,16000US0108104,AL,1,640
100390,Bon Air,8248,16000US0108248,AL,1,103
100391,Bon Secour,8272,16000US0108272,AL,1,648
100392,Boykin,8680,16000US0108680,AL,1,67
100393,Brantley,9016,16000US0109016,AL,1,971
100394,Brantleyville,9064,16000US0109064,AL,1,1111
100395,Brent,9136,16000US0109136,AL,1,4898
100396,Brewton,9208,16000US0109208,AL,1,5424
100397,Bridgeport,9328,16000US0109328,AL,1,2300
100398,Brighton,9400,16000US0109400,AL,1,2904
100399,Brilliant,9424,16000US0109424,AL,1,908
100400,Bristow Cove,9457,16000US0109457,AL,1,531
100401,Brook Highland,9500,16000US0109500,AL,1,7032
100402,Brookside,9736,16000US0109736,AL,1,1258
100403,Brookwood,9808,16000US0109808,AL,1,1932
100404,Broomtown,9880,16000US0109880,AL,1,160
100405,Brundidge,10240,16000US0110240,AL,1,2189
100406,Bucks,10456,16000US0110456,AL,1,50
100407,Butler,11032,16000US0111032,AL,1,2360
100408,Calera,11416,16000US0111416,AL,1,12593
100409,Calvert,11488,16000US0111488,AL,1,394
100410,Camden,11512,16000US0111512,AL,1,2721
100411,Camp Hill,11680,16000US0111680,AL,1,1051
100412,Carbon Hill,12016,16000US0112016,AL,1,1739
100413,Cardiff,12040,16000US0112040,AL,1,30
100414,Carlisle-Rockledge,12070,16000US0112070,AL,1,2910
100415,Carlton,12112,16000US0112112,AL,1,74
100416,Carolina,12160,16000US0112160,AL,1,285
100417,Carrollton,12304,16000US0112304,AL,1,922
100418,Castleberry,12496,16000US0112496,AL,1,543
100419,Catherine,12544,16000US0112544,AL,1,20
100420,Cedar Bluff,12760,16000US0112760,AL,1,2017
100421,Center Point,13264,16000US0113264,AL,1,16797
100422,Centre,13648,16000US0113648,AL,1,3570
100423,Centreville,13672,16000US0113672,AL,1,2719
100424,Chatom,14008,16000US0114008,AL,1,1006
100425,Chelsea,14104,16000US0114104,AL,1,11386
100426,Cherokee,14152,16000US0114152,AL,1,850
100427,Chickasaw,14392,16000US0114392,AL,1,6005
100428,Childersburg,14464,16000US0114464,AL,1,5105
100429,Choccolocco,14728,16000US0114728,AL,1,2279
100430,Chunchula,14968,16000US0114968,AL,1,136
100431,Citronelle,15064,16000US0115064,AL,1,3886
100432,Clanton,15136,16000US0115136,AL,1,8715
100433,Clay,15256,16000US0115256,AL,1,9682
100434,Clayhatchee,15304,16000US0115304,AL,1,441
100435,Clayton,15376,16000US0115376,AL,1,2947
100436,Cleveland,15472,16000US0115472,AL,1,1206
100437,Clio,15640,16000US0115640,AL,1,856
100438,Coaling,16000,16000US0116000,AL,1,1808
100439,Coats Bend,16080,16000US0116080,AL,1,1842
100440,Coffee Springs,16240,16000US0116240,AL,1,264
100441,Coffeeville,16264,16000US0116264,AL,1,383
100442,Coker,16312,16000US0116312,AL,1,819
